,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
153,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,91,,12,0,3,2,,Covid-19 ends Australia’s 28-year run without a recession https://t.co/G3tvQO1xSD,,Covid19 ends Australias 28year run without a recession httpstcoG3tvQO1xSD
139,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,92,,20,0,1,2,,Top US public health official prepares for pre-election vaccine https://t.co/0dx8VAt7A8,,Top US public health official prepares for preelection vaccine httpstco0dx8VAt7A8
148,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,93,,10,0,2,2,,India bans 118 Chinese apps as Himalayan border tensions surge https://t.co/whRJNk4XND,,India bans 118 Chinese apps as Himalayan border tensions surge httpstcowhRJNk4XND
133,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,94,,3,1,3,2,,Top US public health official prepares for pre-election vaccine https://t.co/Qv75HqeDlo,,Top US public health official prepares for preelection vaccine httpstcoQv75HqeDlo
146,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,95,,18,0,1,2,,China cracks down on waste to ensure food security https://t.co/Hobje9iGb1,,China cracks down on waste to ensure food security httpstcoHobje9iGb1
140,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,96,,13,0,4,2,,The US and climate: New York’s bold green plans hit opposition https://t.co/mRajgVAAg1,,The US and climate New Yorks bold green plans hit opposition httpstcomRajgVAAg1
151,FinancialTimesv3_0906.csv,,03/09/2020 14:24,,97,,10,3,5,2,,Hong Kong: Beijing cracks down while the financial centre thrives https://t.co/8BR3lMwJeL,,Hong Kong Beijing cracks down while the financial centre thrives httpstco8BR3lMwJeL
132,FinancialTimesv3_0906.csv,,03/09/2020 14:37,,98,,2,0,0,3,,"Wirecard was a pioneering payments processor from Munich that handled credit and debit card payments. The FT's Dan McCrum (@FD) started investigating Wirecard in 2014, following a tip that something was awry with the accounts https://t.co/xNH6SDoG5z https://t.co/oxclFls1MO",,Wirecard was a pioneering payments processor from Munich that handled credit and debit card payments The FTs Dan McCrum FD started investigating Wirecard in 2014 following a tip that something was awry with the accounts httpstcoxNH6SDoG5z httpstcooxclFls1MO
130,FinancialTimesv3_0906.csv,,03/09/2020 14:43,,99,,7,0,5,3,,"In April 2016, a senior executive at Wirecard then tried to spoof our journalists into running a completely fabricated, highly price-sensitive story — that Wirecard would merge with its French rival Ingenico, something Ingenico adamantly denied https://t.co/Bs06mQZMN4 https://t.co/UlSo5qMbn4",,In April 2016 a senior executive at Wirecard then tried to spoof our journalists into running a completely fabricated highly pricesensitive story  that Wirecard would merge with its French rival Ingenico something Ingenico adamantly denied httpstcoBs06mQZMN4 httpstcoUlSo5qMbn4
128,FinancialTimesv3_0906.csv,,03/09/2020 14:50,,100,,12,2,3,3,,This is the tale of what it was like to unravel and expose the reality of a criminal enterprise that relied on a network of professional enablers to keep in motion one of the biggest corporate frauds of the modern era https://t.co/Bs06mQZMN4,,This is the tale of what it was like to unravel and expose the reality of a criminal enterprise that relied on a network of professional enablers to keep in motion one of the biggest corporate frauds of the modern era httpstcoBs06mQZMN4
